id_anfitrion,zona_grupo,latitud,tipo_propiedad,capacidad,recamaras,noches_minimas,min_noches_minimas,min_noches_maximas,precio,disp_30d,disp_90d,calendario_ultima_extraccion,num_resenas,num_resenas_30d,ultima_resena,calif_total,calif_limpieza,calif_comunicacion,calif_valor,es_superhost,tasa_respuesta_host,host_tiene_foto,antiguedad_host,total_listados_host,host_total_habitaciones_privadas,licencia
709828,Isole,45.43101,Entire vacation home,8,4.0,3,3,28,$485.00,10,33,2025-06-17,171,1,2025-05-26,4.84,4.94,4.89,4.72,t,100%,t,2011-06-16,2,0,IT027042C2UHFRQ4IW
716234,Isole,45.4362,Room in bed and breakfast,4,1.0,2,1,99,$158.00,8,27,2025-06-17,56,2,2025-06-02,4.44,4.78,4.64,4.38,f,100%,t,2011-06-18,3,0,IT027042B4OTJ42DZR
722130,Isole,45.44087,Entire rental unit,5,2.0,1,1,1125,$213.00,0,0,2025-06-17,297,0,2024-10-14,4.59,4.68,4.87,4.51,f,,t,2011-06-20,1,0,IT027042C2PDZCDOFU
745553,Isole,45.44085,Entire rental unit,4,1.0,3,1,365,$200.00,10,47,2025-06-17,390,1,2025-06-03,4.79,4.79,4.82,4.74,f,100%,t,2011-06-26,4,0,IT027042C2W7KMXRW5
745553,Isole,45.44019,Entire rental unit,4,2.0,3,1,365,$200.00,16,58,2025-06-17,299,1,2025-05-21,4.71,4.81,4.75,4.67,f,100%,t,2011-06-26,4,0,IT027042C227TF7PPF
766256,Isole,45.4341,Entire rental unit,4,2.0,3,2,1125,$206.00,17,45,2025-06-17,437,3,2025-05-25,4.77,4.81,4.84,4.66,t,100%,t,2011-07-01,2,0,IT027042C2WUZQK3RE
781124,Isole,45.44651,Entire home,4,2.0,2,1,1124,$112.00,18,76,2025-06-17,461,4,2025-06-13,4.74,4.65,4.91,4.66,t,100%,t,2011-07-05,2,0,IT027042C2B95QBGWL
716234,Isole,45.43548,Room in bed and breakfast,1,1.0,2,1,99,$89.00,7,21,2025-06-17,240,3,2025-06-07,4.53,4.75,4.65,4.56,f,100%,t,2011-06-18,3,0,IT027042B4OTJ42DZR
214390,Isole,45.43821,Room in bed and breakfast,2,1.0,2,2,1125,,8,48,2025-06-17,475,4,2025-06-07,4.94,4.99,4.97,4.84,t,100%,t,2010-08-27,4,0,IT027042B4D3D4AUUS
796717,Isole,45.43528,Entire rental unit,4,1.0,2,2,29,$172.00,6,33,2025-06-17,202,2,2025-06-05,4.9,4.92,4.94,4.85,f,100%,t,2011-07-09,1,0,IT027042B4MWK7E9RZ
214390,Isole,45.439,Entire serviced apartment,8,4.0,4,4,1125,$494.00,22,72,2025-06-17,14,0,2024-01-03,4.86,4.86,5.0,4.79,t,100%,t,2010-08-27,4,0,IT027042B4D3D4AUUS
813513,Terraferma,45.49611,Entire condo,2,1.0,5,5,30,$69.00,8,39,2025-06-17,256,4,2025-06-15,4.76,4.89,4.9,4.73,f,100%,t,2011-07-13,2,0,IT027042C2CKH6EKIG
716234,Isole,45.43717,Room in bed and breakfast,3,1.0,2,1,99,,15,39,2025-06-17,87,0,2024-10-12,4.26,4.66,4.46,4.39,f,100%,t,2011-06-18,3,0,IT027042B4OTJ42DZR
1028258,Isole,45.43798,Entire rental unit,4,1.0,31,31,1125,,0,0,2025-06-17,454,0,2020-02-17,4.82,4.92,4.86,4.78,f,,t,2011-08-27,2,0,
1123859,Isole,45.43561,Entire rental unit,4,3.0,2,2,99,$209.00,9,27,2025-06-17,52,1,2025-05-31,4.86,4.96,4.83,4.85,f,100%,t,2011-09-07,1,0,It027042c22h9t6ifl
813513,Terraferma,45.49621,Entire rental unit,1,1.0,5,5,30,$59.00,24,59,2025-06-17,256,4,2025-06-15,4.75,4.9,4.92,4.8,f,100%,t,2011-07-13,2,0,IT027042C2CKH6EKIG
693554,Isole,45.43125,Entire rental unit,4,2.0,3,1,1125,$165.00,0,0,2025-06-17,314,4,2025-06-13,4.98,4.96,4.98,4.92,t,100%,t,2011-06-12,1,0,IT027042C2RIA4GVMF
1227993,Isole,45.43176,Entire rental unit,4,1.0,3,3,30,$140.00,7,27,2025-06-17,57,2,2025-06-04,4.77,4.77,4.79,4.64,f,100%,t,2011-09-30,1,0,IT027042C2KUWHW2JG
1240373,Isole,45.4178,Entire condo,4,1.0,3,3,1125,$107.00,1,3,2025-06-17,248,1,2025-05-26,4.73,4.72,4.82,4.64,t,100%,t,2011-10-03,1,0,IT027042C2VDXIAAXV
564594,Terraferma,45.5032,Private room in guesthouse,4,1.0,1,1,365,$132.00,9,33,2025-06-17,85,0,2025-04-05,4.52,4.86,4.67,4.49,f,100%,t,2011-05-07,4,4,IT027042B4S6WQ6PLR
564594,Terraferma,45.5032,Private room in guesthouse,5,1.0,1,1,365,$141.00,16,51,2025-06-17,105,0,2025-05-06,4.73,4.94,4.76,4.7,f,100%,t,2011-05-07,4,4,IT027042B4S6WQ6PLR
564594,Terraferma,45.5032,Private room in guesthouse,3,1.0,1,1,365,$123.00,15,51,2025-06-17,72,0,2025-05-17,4.6,4.83,4.63,4.58,f,100%,t,2011-05-07,4,4,IT027042B4S6WQ6PLR
564594,Terraferma,45.5032,Private room in guesthouse,3,1.0,1,1,365,$121.00,7,34,2025-06-17,116,6,2025-06-14,4.78,4.96,4.86,4.71,f,100%,t,2011-05-07,4,4,IT027042B4S6WQ6PLR
1275479,Isole,45.4365,Entire rental unit,6,3.0,3,2,1125,$171.00,6,28,2025-06-17,431,1,2025-05-28,4.8,4.81,4.91,4.77,t,95%,t,2011-10-11,3,0,IT027042C258M2CQZM
1351366,Isole,45.43625,Private room in bed and breakfast,2,1.0,4,2,28,$116.00,13,58,2025-06-17,28,0,2024-10-28,4.71,4.81,4.85,4.74,f,67%,t,2011-10-30,2,2,IT027042B4IXU5WOT8
1365288,Isole,45.44382,Entire condo,2,1.0,5,4,1125,$87.00,12,57,2025-06-17,217,2,2025-06-12,4.62,4.51,4.8,4.57,f,100%,t,2011-11-03,2,0,IT027042C2LNUJWRXG
1366623,Isole,45.42833,Entire rental unit,2,1.0,1,1,1125,$142.00,16,40,2025-06-17,439,4,2025-06-01,4.94,4.96,4.96,4.83,t,96%,t,2011-11-03,1,0,IT027042C2QUZP7JS3
