id,id_anfitrion,ultima_extraccion,zona_grupo,vecindario,latitud,longitud,tipo_propiedad,tipo_habitacion,capacidad,banos,recamaras,camas,noches_minimas,noches_maximas,min_noches_minimas,max_noches_minimas,min_noches_maximas,max_noches_maximas,precio,tiene_disponibilidad,disp_30d,disp_60d,disp_90d,disp_365d,calendario_ultima_extraccion,calendario_actualizado,num_resenas,num_resenas_12m,num_resenas_30d,primera_resena,ultima_resena,resenas_por_mes,calif_total,calif_exactitud,calif_limpieza,calif_checkin,calif_comunicacion,calif_ubicacion,calif_valor,reserva_inmediata,es_superhost,tiempo_respuesta_host,tasa_respuesta_host,tasa_aceptacion_host,host_tiene_foto,host_verificado,antiguedad_host,vecindario_host,total_listados_host,host_total_casas_completas,host_total_habitaciones_privadas,host_total_habitaciones_compartidas,licencia
1419475626646680583,692394091,2025-06-17,Isole,San Marco,45.43699966275892,12.336113342994016,Entire rental unit,Entire home/apt,8,1.0,4.0,6.0,2,365,2,2,365,365,$198.00,t,23,51,81,171,2025-06-17,,0,0,0,,,,,,,,,,,f,f,within a few hours,93%,71%,f,t,2025-04-27,,7,7,0,0,IT027042C2KCFW9W9O
1419478831510978220,692394091,2025-06-17,Isole,Cannaregio,45.43874576368455,12.33746282887152,Entire rental unit,Entire home/apt,8,1.0,4.0,6.0,2,365,2,2,365,365,$252.00,t,23,49,75,165,2025-06-17,,0,0,0,,,,,,,,,,,f,f,within a few hours,93%,71%,f,t,2025-04-27,,7,7,0,0,It027042C2kcfw9w9o
1419520006092154513,531806748,2025-06-17,Terraferma,Carpenedo,45.5047007,12.2504607,Entire rental unit,Entire home/apt,7,2.0,3.0,6.0,2,365,2,2,365,365,$163.00,t,30,58,87,361,2025-06-17,,0,0,0,,,,,,,,,,,f,f,within an hour,100%,97%,f,t,2023-08-14,,2,2,0,0,IT027042C2YWL3MN9I
1420082160782089940,692394091,2025-06-17,Isole,Castello,45.43642,12.3479,Entire rental unit,Entire home/apt,5,1.0,1.0,3.0,2,365,2,2,365,365,$158.00,t,23,51,81,171,2025-06-17,,0,0,0,,,,,,,,,,,f,f,within a few hours,93%,71%,f,t,2025-04-27,,7,7,0,0,IT027042C2ZM3WGLPL
1420219038009616749,695266543,2025-06-17,Isole,Giudecca,45.4235316,12.3274379,Entire condo,Entire home/apt,2,1.0,1.0,1.0,2,29,2,3,29,29,$160.00,t,30,56,68,147,2025-06-17,,0,0,0,,,,,,,,,,,f,f,within a day,100%,,t,t,2025-05-13,,1,1,0,0,IT027042C206HKDCWT
1420236840041556363,554503678,2025-06-17,Terraferma,Tessera,45.50147915987164,12.325018086508178,Private room in home,Private room,2,1.0,1.0,1.0,1,365,1,1,365,365,$62.00,t,12,39,47,318,2025-06-17,,0,0,0,,,,,,,,,,,t,t,within an hour,100%,99%,t,t,2024-01-04,,5,1,4,0,IT027042C22EHZKADW
1420262925322664967,695276168,2025-06-17,Isole,Santa Croce,45.44089927364678,12.33072918660503,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,1,29,1,3,29,29,$130.00,t,19,49,79,187,2025-06-17,,1,1,1,2025-05-26,2025-05-26,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,f,within an hour,100%,100%,t,t,2025-05-13,,1,1,0,0,IT027042C2Z3Q5KW2S
1420273056518824684,695282774,2025-06-17,Terraferma,Piave 1860,45.48916,12.24352,Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,2,1125,1,2,1125,1125,$90.00,t,9,24,47,135,2025-06-17,,4,4,4,2025-05-20,2025-06-02,4.0,4.25,4.0,4.67,4.67,4.67,4.33,4.33,t,f,within an hour,100%,100%,t,t,2025-05-13,,1,1,0,0,IT027042C2BQ8G595J
1420350112914590745,548635023,2025-06-17,Terraferma,San Lorenzo XXV Aprile,45.487678,12.250974,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,1,365,1,1,365,365,$167.00,t,13,33,59,327,2025-06-17,,4,4,4,2025-05-22,2025-06-13,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,f,within an hour,100%,91%,f,t,2023-11-29,,1,1,0,0,IT027042C2YKWJ4S54
1420399232329590712,554503678,2025-06-17,Terraferma,Tessera,45.50152803818015,12.325018086508178,Private room in home,Private room,3,1.0,1.0,2.0,1,365,1,1,365,365,$56.00,t,11,38,50,325,2025-06-17,,1,1,1,2025-05-31,2025-05-31,1.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,f,t,within an hour,100%,99%,t,t,2024-01-04,,5,1,4,0,IT027042C22EHZKADW
1420415643275810962,554503678,2025-06-17,Terraferma,Tessera,45.50160323549496,12.325291671827696,Private room in home,Private room,3,1.0,1.0,2.0,1,365,1,1,365,365,$60.00,t,14,36,61,335,2025-06-17,,0,0,0,,,,,,,,,,,f,t,within an hour,100%,99%,t,t,2024-01-04,,5,1,4,0,IT027042C22EHZKADW
